#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
data/test/F1S1R1D2B4P5D12_fasta.fna	contig00033	20991	21672	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	96.92	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
data/test/F1S1R1D2B4P5D12_fasta.fna	contig00046	5837	5967	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
data/test/F1S1R1D2B4P5D12_fasta.fna	contig00048	4151	4270	-	ColRNAI_1	13-130/130	.=======/======	2/2	90.77	89.17	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
data/test/F1S1R1D2B4P5E01_fasta.fna	contig00022	51744	51894	+	IncB/O/K/Z_1	1-151/151	===============	0/0	100.00	100.00	plasmidfinder	CU928147	IncB/O/K/Z_1__CU928147	
data/test/F1S1R1D2B4P5E01_fasta.fna	contig00038	6883	7256	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
data/test/F1S1R1D2B4P5E01_fasta.fna	contig00046	12365	12625	-	IncFII_1	1-261/261	===============	0/0	100.00	100.00	plasmidfinder	AY458016	IncFII_1__AY458016	
data/test/F1S1R1D2B4P5E01_fasta.fna	contig00048	7881	8061	+	Col8282_1	25-205/207	.==============	0/0	87.44	92.27	plasmidfinder	DQ995352	Col8282_1__DQ995352	
data/test/F1S1R1D2B4P5E01_fasta.fna	contig00058	1914	2044	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	88.55	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
data/test/F1S1R1D2B4P5E01_fasta.fna	contig00087	600	859	+	Col(MG828)_1	1-260/262	===============	0/0	99.24	94.23	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
data/test/F1S1R1D2B4P5E02_fasta.fna	contig00024	19794	20436	-	IncFIB(pB171)_1_pB171	1-643/643	===============	0/0	100.00	99.38	plasmidfinder	AB024946	IncFIB(pB171)_1_pB171_AB024946	
data/test/F1S1R1D2B4P5E02_fasta.fna	contig00024	31791	32178	+	IncFIA_1	1-388/388	===============	0/0	100.00	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
data/test/F1S1R1D2B4P5E02_fasta.fna	contig00030	4811	5071	+	IncFII(pRSB107)_1_pRSB107	1-261/261	===============	0/0	100.00	100.00	plasmidfinder	AJ851089	IncFII(pRSB107)_1_pRSB107_AJ851089	
data/test/F1S1R1D2B4P5E04_fasta.fna	contig00019	77126	77267	+	IncI1_1_Alpha	1-142/142	===============	0/0	100.00	100.00	plasmidfinder	AP005147	IncI1_1_Alpha_AP005147	
data/test/F1S1R1D2B4P5E05_fasta.fna	contig00019	68103	68363	-	IncFII_1	1-261/261	===============	0/0	100.00	100.00	plasmidfinder	AY458016	IncFII_1__AY458016	
data/test/F1S1R1D2B4P5E05_fasta.fna	contig00030	30081	30454	-	IncX4_1	1-374/374	===============	0/0	100.00	99.73	plasmidfinder	CP002895	IncX4_1__CP002895	
data/test/F1S1R1D2B4P5E05_fasta.fna	contig00035	20901	21582	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	98.39	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
data/test/F1S1R1D2B4P5E05_fasta.fna	contig00044	2073	2192	+	ColRNAI_1	13-130/130	.=======/======	2/2	90.77	89.17	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
data/test/F1S1R1D2B4P5E05_fasta.fna	contig00045	4384	4537	+	Col156_1	1-154/154	===============	0/0	100.00	94.81	plasmidfinder	NC_009781	Col156_1__NC_009781	
data/test/F1S1R1D2B4P5E05_fasta.fna	contig00048	3936	4066	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	88.55	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
data/test/F1S1R1D2B4P5E05_fasta.fna	contig00049	386	592	+	Col8282_1	1-207/207	===============	0/0	100.00	92.27	plasmidfinder	DQ995352	Col8282_1__DQ995352	
data/test/F1S1R1D2B4P5E05_fasta.fna	contig00058	51	312	-	Col(MG828)_1	1-262/262	===============	0/0	100.00	91.98	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
data/test/F1S1R1D2B4P5E07_fasta.fna	contig00021	3867	4548	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	96.63	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
data/test/F1S1R1D2B4P5E07_fasta.fna	contig00021	70110	70368	-	IncFII(29)_1_pUTI89	1-259/259	===============	0/0	100.00	99.61	plasmidfinder	CP003035	IncFII(29)_1_pUTI89_CP003035	
data/test/F1S1R1D2B4P5E07_fasta.fna	contig00032	6753	6906	-	Col156_1	1-154/154	===============	0/0	100.00	98.70	plasmidfinder	NC_009781	Col156_1__NC_009781	
data/test/F1S1R1D2B4P5E08_fasta.fna	contig00015	10479	10739	-	IncFII_1	1-261/261	===============	0/0	100.00	100.00	plasmidfinder	AY458016	IncFII_1__AY458016	
data/test/F1S1R1D2B4P5E08_fasta.fna	contig00020	1632	1785	+	Col156_1	1-154/154	===============	0/0	100.00	94.81	plasmidfinder	NC_009781	Col156_1__NC_009781	
data/test/F1S1R1D2B4P5E09_fasta.fna	contig00056	8585	9266	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	97.95	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
